Header Reference (BOM Reference),Stock Code,Description,Notes,Sequence Number,Quantity,Instruction,Unit of MEachsure,Scrap Percentage,Fixed Quantity,Use Only in BOM Module
ASSY-0000-00-DFG_Leaf_LH,FG-0015-FP,100mm Gate Hinge Backing Plate - 15mm,,10,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,FG-0102-FP,M20 Lifting Eye Plate - 80x80 - 15mm,,20,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,FG-0112-FP,Seal Channel Capping Plate - 76x38 - 5mm,,30,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,PP-FG-0012,Pull Handle - 19 OD x 300mm,,40,6,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,PP-FG-0013,M8 Eyelet,,50,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,PP-FIX-M8-0015,M8 Hex Nut - A2,,60,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,FG-0104-FP,Earthing Tab - 50x50 - 10mm,,70,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,RAW-RSC-0002,RSC - 76x38x6.7mm - S275,,80,11.333,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,RAW-SB-0003,SB - 8mm - S235,,90,5.182,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,RAW-SEAL-0001,62x27 Closed Cell EPDM with 2mm Neoprene Skin,,100,3.25,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,FG-0059-FP,Double Gate Pivot Bracket Backing Plate - 10mm,,110,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,FG-0068-FP,Double Gate Latch Cover Locking Lug - 5mm,,120,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,RAW-SEAL-0002,62x47 Closed Cell EPDM with 2mm Neoprene Skin,,130,5.7,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,RAW-SEAL-0003,62x65x48 Closed Cell EPDM with 2mm Neoprene Skin,,140,3.25,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,PP-FIX-M8-0006,M8 Washer - A2,,150,9,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,PP-FIX-M8-0036,M8x16 Torx Button Head Bolt - A2,,160,9,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,RAW-SHS-0005,SHS - 100x100x5mm - S355,,170,49.2336,,Metres,0,FALSE,FALSE
ASSY-0000-00-Ped_Frame,FG-0076-FP,Pedestrian Gate Latch Wedge Cover - 3mm,,10,1,,Each,0,FALSE,FALSE
ASSY-0000-00-Ped_Frame,FG-0075-FP,Pedestrian Gate Latch Wedge - 10mm,,20,1,,Each,0,FALSE,FALSE
ASSY-0000-00-Ped_Frame,RAW-FB-0003,FB - 50x8mm - S275,,30,6.059,,Metres,0,FALSE,FALSE
ASSY-0000-00-Ped_Frame,RAW-SHS-0003,SHS - 60x60x6mm - S355,,40,5.61,,Metres,0,FALSE,FALSE
ASSY-0000-00-Ped_Frame,FG-0105-FP,Ped Gate Transport Bar Tab - 8mm,,50,2,,Each,0,FALSE,FALSE
