Header Reference (BOM Reference),Sequence Number,Operation Reference,Operation Description,Subcontract,Nonprinting,Shrinkage,Overlap Percentage,Run-Time Hours,Run-Time Minutes,Run-Time Seconds,Quantity Per Run,Delay Hours,Delay Minutes,Delay Seconds,Notes,Setup Hours,Setup Minutes,Setup Seconds,Setup Rate,Labour Reference,Labour Description,Labour Notes,Labour Rate,Labour Hours,Labour Minutes,Labour Seconds,Setup Labour Resource Reference,Setup Labour Resource Description,Machine Reference,Machine Description,Machine Notes,Machine Rate,Machine Hours,Machine Minutes,Machine Seconds,Setup Machine Resource Reference,Setup Machine Resource Description,Tooling Resource Reference,Tooling Resource Description,Tooling Cost,Tooling Quantity,Supplier Account Reference,Order Reference,Order Details,Lead Time,Saturday,Sunday,Subcontract Quantity Break From 1,Subcontract Quantity Break To 1,Subcontract Quantity Break Cost 1,Subcontract Quantity Break Rate per Item 1,Subcontract Quantity Break Hours Offsite 1,Subcontract Quantity Break From 2,Subcontract Quantity Break To 2,Subcontract Quantity Break Cost 2,Subcontract Quantity Break Rate per Item 2,Subcontract Quantity Break Hours Offsite 2,Subcontract Quantity Break From 3,Subcontract Quantity Break To 3,Subcontract Quantity Break Cost 3,Subcontract Quantity Break Rate per Item 3,Subcontract Quantity Break Hours Offsite 3,Subcontract Quantity Break From 4,Subcontract Quantity Break To 4,Subcontract Quantity Break Cost 4,Subcontract Quantity Break Rate per Item 4,Subcontract Quantity Break Hours Offsite 4,Subcontract Quantity Break From 5,Subcontract Quantity Break To 5,Subcontract Quantity Break Cost 5,Subcontract Quantity Break Rate per Item 5,Subcontract Quantity Break Hours Offsite 5,LabourIsResourceGroup,MachineIsResourceGroup
ASSY-0000-00-DFG_Frame,10,CUTTING,Cutting & Kitting,FALSE,,,100,5,30,,1,0,30,,,,,,,Cutter,Cutter,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
ASSY-0000-00-DFG_Frame,20,WELDING,Fabrication & Welding,FALSE,,,100,16,30,,1,0,30,,,,,,,WELDER_1,Fabrication & Welding,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,10,CUTTING,Cutting & Kitting,FALSE,,,100,6,30,,1,0,30,,,,,,,Cutter,Cutter,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,20,WELDING,Fabrication & Welding,FALSE,,,100,24,30,,1,0,30,,,,,,,WELDER_1,Fabrication & Welding,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,10,CUTTING,Cutting & Kitting,FALSE,,,100,8,30,,1,0,30,,,,,,,Cutter,Cutter,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,20,WELDING,Fabrication & Welding,FALSE,,,100,24,30,,1,0,30,,,,,,,WELDER_1,Fabrication & Welding,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
ASSY-0000-00-Ped_Frame,10,CUTTING,Cutting & Kitting,FALSE,,,100,2,0,,1,0,30,,,,,,,Cutter,Cutter,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
ASSY-0000-00-Ped_Frame,20,WELDING,Fabrication & Welding,FALSE,,,100,11,0,,1,0,30,,,,,,,WELDER_1,Fabrication & Welding,,,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,10,CUTTING,Cutting & Kitting,FALSE,,,100,3,0,,1,0,30,,,,,,,Cutter,Cutter,,,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
ASSY-0000-00-Ped_Leaf,20,WELDING,Fabrication & Welding,FALSE,,,100,20,0,,1,0,30,,,,,,,WELDER_1,Fabrication & Welding,,,19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE
